No,Kelas,Kulit Buah,Warna,Ukuran,Bau
1,Aman,Kasar,Coklat,Besar,Keras
2,Aman,Kasar,Hijau,Besar,Keras
3,Berbahaya,Halus,Merah,Besar,Lunak
4,Aman,Kasar,Hijau,Besar,Lunak
5,Aman,Kasar,Merah,Kecil,Keras
6,Aman,Halus,Merah,Besar,Keras
7,Aman,Halus,Coklat,Kecil,Keras
8,Berbahaya,Kasar,Hijau,Kecil,Lunak
9,Berbahaya,Halus,Hijau,Kecil,Keras
10,Aman,Kasar,Merah,Besar,Keras
11,Aman,Halus,Coklat,Besar,Lunak
12,Berbahaya,Halus,Hijau,Kecil,Keras
13,Aman,Kasar,Merah,Kecil,Keras
14,Berbahaya,Halus,Merah,Kecil,Lunak
15,Aman,Halus,Merah,Kecil,Keras
16,Berbahaya,Kasar,Hijau,Kecil,Keras
